,descr,label
1,"No products in the cart.. No products in the cart.. 
€58.00 – €145.00. NETOP Magnetic Door Counter sensor is a long range wireless sensor which counts door opening-closing by using magnetic add-on. Each opening and closing is detected and recorded in the system separately. It gives 2 outputs, which one of them is how many times the door was opened and the other one is how many times it was closed, in every hour(default). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days. — OR —. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			BLE5.0 Devices		. 3 PHASE CURRENT METER-BLE. 
			NB-IoT Devices		. DRY CONTACT-NB. 
			BLE5.0 Devices		. DRY CONTACT-BLE. 
			BLE5.0 Devices		. MAGNETOMETER-BLE. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
2,"No products in the cart.. No products in the cart.. 
€55.00 – €142.00. NETOP 2 Plane(Duble Axis) Tilt sensor is a long range wireless sensor which can be used for monitoring of angle between the device and earth (ground). The device gives 2 seperate outputs of the angle of tilt as Tilt X and Tilt Y(as an example: Tilt X: +10,0 degree and Tilt Y: -15,0 degree). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days. — OR —. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			LoRaWan Devices		. Water Tank Level Threshold Sensor-LR. 
			BLE5.0 Devices		. Water Tank Level Threshold Sensor-BLE. 
			BLE5.0 Devices		. LIGHT METER-BLE. 
			BLE5.0 Devices		. DOOR COUNTER-BLE. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
3,"No products in the cart.. No products in the cart.. 
€69.00 – €151.00. NETOP Laser Distance sensor is a long range wireless sensor which can be used in a variety of applications for measuring distances between the sensor and objects in its path. It can measure absolute distances up to 2m. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days. — OR —. NETOP Laser Distance sensor is a long range wireless sensor which can be used in a variety of applications for measuring distances between the sensor and objects in its path. It can measure absolute distances up to 2m. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase).. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			BLE5.0 Devices		. MANHOLE SENSOR-BLE. 
			BLE5.0 Devices		. MAGNETOMETER-BLE. 
			CAT-M1 Devices		. Water Flooding Sensor-CAT-M1. 
			BLE5.0 Devices		. Water Tank Level Threshold Sensor-BLE. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
4,"No products in the cart.. No products in the cart.. 
€59.00 – €146.00. NETOP Water Flooding Sensor is a long range wireless sensor which can be used for detecting water flooding for preventing potential property damage that results from flooding or leaks. This sensor can also be used to detect water leakage. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days. — OR —. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			BLE5.0 Devices		. MOTION SENSOR-BLE. 
			BLE5.0 Devices		. SHAKING SENSOR-BLE. 
			BLE5.0 Devices		. 3 PHASE CURRENT METER-BLE. 
			BLE5.0 Devices		. PT100 TEMPERATURE-BLE. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
5,"No products in the cart.. No products in the cart.. 
€60.00 – €159.00. NETOP Water Tank Level Threshold Sensor is a long range wireless sensor which can be used for detecting that Water Tank level is below or above from specific point. You can put the sensor into a water tank(let’s say 5 meters higher from a base) and monitor whether the water level is up or down from the level which sensor states onto. So it can give information whether there is any water into the tank on this level or not. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days. — OR —. NETOP Water Tank Level Threshold Sensor is a long range wireless sensor which can be used for detecting that Water Tank level is below or above from specific point. You can put the sensor into a water tank(let’s say 5 meters higher from a base) and monitor whether the water level is up or down from the level which sensor states onto. So it can give information whether there is any water into the tank on this level or not. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase).. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			BLE5.0 Devices		. MAGNETIC OPEN-CLOSED DOOR SENSOR-BLE. 
			BLE5.0 Devices		. SMART BLE BEACON (Temperature/Humidity/Air Pressure/Accelerometer). 
			BLE5.0 Devices		. PIR SENSOR-BLE. 
			BLE5.0 Devices		. LIGHT METER-BLE. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
6,"No products in the cart.. No products in the cart.. 
€63.00 – €156.00. NETOP Accelerometer&Gyroscope sensor is a long range wireless. It gives acceleration of X, Y, Z axis and angular rate of ΩY, ΩR, ΩP(Yaw, Roll, Pitch) output periodically, every 15 minutes(default). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days.  . — OR —. NETOP Accelerometer&Gyroscope sensor is a long range wireless. It gives acceleration of X, Y, Z axis and angular rate of ΩY, ΩR, ΩP(Yaw, Roll, Pitch) output periodically, every 15 minutes(default). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase).. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			BLE5.0 Devices		. DOOR COUNTER-BLE. 
			BLE5.0 Devices		. MOTION SENSOR-BLE. 
			BLE5.0 Devices		. MANHOLE SENSOR-BLE. 
			BLE5.0 Devices		. WATER FLOODING SENSOR-BLE. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
7,"No products in the cart.. No products in the cart.. 
€55.00 – €142.00. NETOP Accelerometer sensor is a long range wireless sensor. It gives acceleration of X, Y, Z axis output periodically, every 15 minutes(default). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days. — OR —. NETOP Accelerometer sensor is a long range wireless sensor. It gives acceleration of X, Y, Z axis output periodically, every 15 minutes(default). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase).. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			NB-IoT Devices		. LIGHT METER-NB. 
			NB-IoT Devices		. TEMPERATURE AND HUMIDITY-NB. 
			NB-IoT Devices		. DOOR COUNTER-NB. 
			LoRaWan Devices		. CURRENT METER-LR. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
8,"No products in the cart.. No products in the cart.. 
€67.00 – €149.00. NETOP Motion sensor is a long range wireless sensor which uses an infrared sensing technology to accurately detect movements made by people within 1 m range. And it sends data when both the movement stars and finishes separately. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..     
 Estimated Shipment: Max. 15 days . — OR —. NETOP Motion sensor is a long range wireless sensor which uses an infrared sensing technology to accurately detect movements made by people within 1 m range. And it sends data when both the movement stars and finishes separately. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase).. IP65 (Standard). 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			LoRaWan Devices		. ACCELEROMETER AND GYROSCOPE-LR. 
			NB-IoT Devices		. DOOR COUNTER-NB. 
			LoRaWan Devices		. PT100 TEMPERATURE-LR. 
			LoRaWan Devices		. MAGNETIC OPEN-CLOSED DOOR SENSOR-LR. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
9,"No products in the cart.. No products in the cart.. 
€96.00 – €226.00. NETOP 3 Phase Current Meter is a long range wireless sensor which can be used for monitoring current usages. This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase). Please remember to choose your current transformer, for more information please have a look at datasheet on Page 2. You will have 3 current transformers with your order..    
 Estimated Shipment: Max. 15 days. — OR —. 
			LoRaWan Devices		. LIGHT METER-LR. 
			LoRaWan Devices		. PIR SENSOR-LR. 
			NB-IoT Devices		. PIR SENSOR-NB. 
			NB-IoT Devices		. 3 PHASE CURRENT METER-NB. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
10,"No products in the cart.. No products in the cart.. 
€63.00 – €150.00. NETOP Door Counter sensor is a long range wireless sensor which counts door opening-closing by using accelerometer and gyroscope. Each opening and closing is detected and recorded in the system separately. It gives 2 outputs, which one of them is how many times the door was opened and the other one is how many times it was closed, in every hour(default). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase)..    
 Estimated Shipment: Max. 15 days. — OR —. NETOP Door Counter sensor is a long range wireless sensor which counts door opening-closing by using accelerometer and gyroscope. Each opening and closing is detected and recorded in the system separately. It gives 2 outputs, which one of them is how many times the door was opened and the other one is how many times it was closed, in every hour(default). This sensor is compatible with Bluetooth5.0 technology. The standard version of this sensor is powered by one replaceable 3.6 V AA sized battery (included with purchase).. IP65 (Standard), IP67. 3.6V Li-SOCl2 (AA size 1x), 3.6V Li-SOCl2 (AA size 2x), Solar Rechargeable Battery, Solar-USB-Wireless Rechargeable Battery, Solar-Wireless Rechargeable Battery, USB Rechargeable Battery, Wireless Rechargeable Battery. 
			LoRaWan Devices		. MOTION SENSOR-LR. 
			NB-IoT Devices		. 3 PHASE CURRENT METER-NB. 
			NB-IoT Devices		. MANHOLE SENSOR-NB. 
			LoRaWan Devices		. CURRENT METER-LR. NetOP EURO B.V.Westerstraat 2A1156AB MARKENTHE NETHERLANDS. +31 629 180 583 - [Only for sales not for support][Available Office Hours: EU Time between 07:00 – 16:00 in weekdays]. support@iot-shops.com[Support will get back to usually within 24-48 hours]. 
Username or email address *
 . 
Password *

. 

 Remember me

 Log in
. 
Lost your password?
. 
Email address *
 . A password will be sent to your email address.. Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.. 
 Register
. ",0
